zip,population,race_pct_white,race_pct_black,race_pct_asian,race_pct_native,race_pct_other,sex_pct_male,sex_pct_female,age_pct_0_19,age_pct_20_39,age_pct_40_59,age_pct_60_79,age_pct_80_over,age_median,households,home_pct_own,home_pct_rent,income_median
601,18570,93.1,3.1,0,0.4,3.5,48.9,51.1,29,25.6,26.4,15.9,3,35.9,7744,67.3,32.7,0
602,41520,86.7,5.3,0.1,0.3,7.7,49.1,50.9,26.7,26.4,28.6,15.8,2.3,37.5,18073,77.5,22.5,0
603,54689,82.9,7.6,0.2,0.3,9.1,48.6,51.4,26.4,26,25.3,19,3.3,38.2,25653,64.9,35.1,0
606,6615,88.9,4.7,0,0.5,5.7,49.4,50.6,27.9,26.8,26.5,16,2.9,36.2,2877,72.3,27.7,0
610,29016,82,7.2,0.1,0.4,10.3,48.6,51.4,26.9,26,26.5,17.9,2.8,38.1,12618,77.5,22.5,0
612,67010,84.3,6.2,0.1,0.4,9.1,47.4,52.6,25.7,25.1,25.3,19.5,4.2,39.2,30992,72.8,27.2,0
616,11017,84.8,7.1,0,0.3,7.7,48.3,51.7,26.7,25.1,25.9,18.5,3.7,38.7,4896,78.7,21.3,0
617,24597,80.6,7.7,0.1,0.3,11.3,48.1,51.9,28.5,28,23.6,16.7,3.2,35.4,10594,78.4,21.6,0
622,7853,85.8,5,0,0.2,9,48.2,51.8,22.6,22.1,25.6,24.3,5.4,44.4,8714,78.8,21.2,0
623,43061,83.8,5.5,0.1,0.3,10.3,47.8,52.2,26.7,25.4,24.6,19.2,4,38.6,21426,77.6,22.4,0
624,26241,81.8,9,0.2,0.4,8.7,48.9,51.1,30.8,27.3,25.4,14.1,2.5,33.4,9905,79.2,20.8,0
627,35159,87.9,4.1,0.1,0.3,7.6,48.5,51.5,27.6,26.3,26.1,16.8,3.1,37.2,14431,79,21,0
631,1852,93.1,2.2,0,0.5,4.2,48.8,51.2,24.1,24.5,25.2,21.3,4.8,41.3,842,60.1,39.9,0
637,25287,85.3,5.5,0,0.4,8.8,47.7,52.3,27.5,25.4,24.4,19.1,3.6,37.9,10962,76.7,23.3,0
638,18941,89.3,4.2,0,0.1,6.3,49.3,50.7,28.9,25.7,26.4,15.7,3.3,35.9,7805,72.7,27.3,0
641,31191,92.7,2.5,0.1,0.2,4.4,48.9,51.1,27.9,24.4,26.1,17.9,3.6,38.1,13358,68.1,31.9,0
646,38199,69.6,15.7,0.2,0.7,13.8,48,52,29.2,26.7,26,15.7,2.5,36.4,16699,80,20,0
647,6172,84.7,5.5,0,0.6,9.2,49.1,50.9,25,25.3,22.3,23.4,4,39.7,3482,80.3,19.7,0
650,14998,90.6,4.6,0.1,0.3,4.4,48.6,51.4,29,27.1,25.2,15.7,2.8,35.4,6124,76.7,23.3,0
652,4715,84.7,6.7,0,0.4,8.2,49.2,50.8,30.3,29.1,23.4,14.5,2.7,34.3,1947,81.6,18.4,0
653,13307,77.8,8.8,0,0.5,12.9,48,52,28.5,26.1,24.2,18.3,3,36.1,6217,73.3,26.7,0
656,21481,81.9,8.3,0.1,0.4,9.3,48.5,51.5,28.4,26.7,24.7,17.4,2.8,36.1,8680,76.2,23.8,0
659,41953,87.3,4.4,0.1,0.2,8,48.4,51.6,27.3,26.8,25.9,17.1,3,37.1,17365,76.4,23.6,0
660,17250,81.2,8.3,0.1,0.4,10,46.5,53.5,23.6,24.5,24.1,23.1,4.7,41.5,7783,74.3,25.7,0
662,43282,83.1,7.8,0.1,0.3,8.6,48.6,51.4,26.7,26.4,26,17.6,3.5,37.9,20199,75.4,24.6,0
664,16784,90.7,3.4,0.1,0.4,5.4,50,50,31.1,27.4,25.2,13.9,2.6,33.1,6590,68.6,31.4,0
667,25968,80.6,5.2,0.1,0.3,13.8,49,51,26,24.2,25.3,20.4,4,39.8,12508,77.1,22.9,0
669,29744,91,3,0.1,0.3,5.6,49.2,50.8,27.3,26.6,25.7,17,3.4,37,12458,69.1,30.9,0
